invoiceNumber,accountingCode,AccountName,invoiceDate,invoiceFrom,invoiceTo,Description,numberOfCalls,callDuration,FeeAmount
16458,BRO03, BroadReach Consulting LLC Incorporated in Delawa,2021-06-15,2021-05-15,2021-06-14,Teams Voice Plus Subscription @ R159.00 per User,0,0,1431.00
16458,BRO03, BroadReach Consulting LLC Incorporated in Delawa,2021-06-15,2021-05-15,2021-06-14,Fixed to Mobile CLI,432,32522,381.05
16458,BRO03, BroadReach Consulting LLC Incorporated in Delawa,2021-06-15,2021-05-15,2021-06-14,Special,14,3278,20.16
16458,BRO03, BroadReach Consulting LLC Incorporated in Delawa,2021-06-15,2021-05-15,2021-06-14,National,19,3136,14.37
16458,BRO03, BroadReach Consulting LLC Incorporated in Delawa,2021-06-15,2021-05-15,2021-06-14,Fixed to Mobile CLI,22,2996,35.05
16458,BRO03, BroadReach Consulting LLC Incorporated in Delawa,2021-06-15,2021-05-15,2021-06-14,Fixed to Mobile Non-CLI,1,54,0.63
16354,7AR01,7 Arrows Security (PTY) LTD,2021-06-15,2021-05-15,2021-06-14,National,167,12071,131.64
16354,7AR01,7 Arrows Security (PTY) LTD,2021-06-15,2021-05-15,2021-06-14,Router Rental,0,0,2500.00
16354,7AR01,7 Arrows Security (PTY) LTD,2021-06-15,2021-05-15,2021-06-14,Special,319,28874,40.42
16354,7AR01,7 Arrows Security (PTY) LTD,2021-06-15,2021-05-15,2021-06-14,Special,1769,71925,456.59
16354,7AR01,7 Arrows Security (PTY) LTD,2021-06-15,2021-05-15,2021-06-14,Local,8,232,2.57
16354,7AR01,7 Arrows Security (PTY) LTD,2021-06-15,2021-05-15,2021-06-14,Virtual Access,155,12482,36.16
16354,7AR01,7 Arrows Security (PTY) LTD,2021-06-15,2021-05-15,2021-06-14,Virtual Access,342,29921,86.52
16354,7AR01,7 Arrows Security (PTY) LTD,2021-06-15,2021-05-15,2021-06-14,Call Recording - Hosted Call Recording - Enterprise 50000 - 7 Arrows Security (PTY) LTD,0,0,700.00
16354,7AR01,7 Arrows Security (PTY) LTD,2021-06-15,2021-05-15,2021-06-14,Sip Account,0,0,99.00
