invoiceNumber,accountingCode,AccountName,invoiceDate,invoiceFrom,invoiceTo,Description,numberOfCalls,callDuration,FeeAmount
3999,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,National,286,35061,196.47
3999,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Monthly Line Rental: 4 - 8 Lines,0,0,430.00
3999,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,1,30,0.33
3999,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,476,40814,444.44
3999,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Local,1848,254939,1349.45
3999,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Special,11,1402,11.13
3755,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Local,1848,254939,1349.45
3755,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,1,30,0.33
3755,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,476,40814,444.44
3755,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,National,286,35061,196.47
3755,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Special,11,1402,11.13
3755,AHOL01,A.Holman Trading Company (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Monthly Line Rental: 4 - 8 Lines,0,0,430.00
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Special,2,70,0.56
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Sip Account,0,0,99.00
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Local,3510,299777,1490.78
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,309,27102,295.18
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Local,23,4496,19.32
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Special,170,41579,216.67
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,National,1,6,0.04
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,2740,227746,2481.79
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Router Rental,0,0,5950.00
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile Non-CLI,1,30,0.33
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile Non-CLI,25,1173,12.84
3916,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,National,130,18743,136.28
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Router Rental,0,0,5950.00
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Sip Account,0,0,99.00
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,309,27102,295.18
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,2740,227746,2481.79
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,National,1,6,0.04
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Special,170,41579,216.67
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Local,3510,299777,1490.78
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile Non-CLI,25,1173,12.84
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile Non-CLI,1,30,0.33
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Special,2,70,0.56
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,National,130,18743,136.28
4183,ABC02,ABC Printers (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Local,23,4496,19.32
4128,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Local,389,45688,253.50
4128,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,National,206,26103,181.66
4128,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,SAIX Line,0,0,1599.00
4128,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Redundancy,0,0,299.00
4128,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,CPE Monthly,0,0,999.00
4128,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile Non-CLI,1,5,0.06
4128,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,632,58423,684.25
4128,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Special,90,18336,111.28
3863,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,SAIX Line,0,0,1599.00
3863,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Redundancy,0,0,299.00
3863,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,632,58423,684.25
3863,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,National,206,26103,181.66
3863,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,CPE Monthly,0,0,999.00
3863,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Special,90,18336,111.28
3863,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Local,389,45688,253.50
3863,ABC01,ABC Pumps and Engineering (PTY) LTD,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile Non-CLI,1,5,0.06
3986,ACR01,Acronamix CC,07/15/2018,06/15/2018,07/14/2018,Business Internet Access (ADSL),0,0,525.00
3768,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,National,18,4218,22.53
3768,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Special,21,2813,19.85
3768,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Special,1,25,0.09
3768,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Monthly Line Rental: 1 - 4 Lines,0,0,220.00
3768,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,8,2018,25.27
3768,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Local,99,12365,76.84
3768,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile Non-CLI,4,509,6.38
3768,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,731,79040,990.48
4022,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Fixed to Mobile CLI,8,2018,25.27
4022,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,National,18,4218,22.53
4022,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Special,21,2813,19.85
4022,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Monthly Line Rental: 1 - 4 Lines,0,0,220.00
4022,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Special,1,25,0.09
4022,ACT01,Action Volunteers Africa ,07/15/2018,06/15/2018,07/14/2018,Local,99,12365,76.84
